F1_score_pval≤0.05,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,10.0,0.0,10.0,0.0,9.0,0.0,-2.0
fdbd,10.0,-,10.0,-1.0,-10.0,10.0,10.0,10.0
gen,0.0,10.0,-,10.0,0.0,8.0,-1.0,5.0
klm,10.0,-1.0,10.0,-,10.0,10.0,10.0,10.0
knn,0.0,-10.0,0.0,10.0,-,10.0,0.0,-2.0
mds,9.0,10.0,8.0,10.0,10.0,-,-7.0,8.0
nnguide,0.0,10.0,-1.0,10.0,0.0,-7.0,-,5.0
relation,-2.0,10.0,5.0,10.0,-2.0,8.0,5.0,-
